service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
160178,1,1,1,1,0,0,0,20251229,20270401
160185,0,0,0,0,1,0,0,20251229,20270401
160341,0,0,0,0,0,1,0,20251224,20270401
160342,0,0,0,0,0,0,1,20251224,20270401
157535,1,1,1,1,0,0,0,20251103,20270401
157536,0,0,0,0,1,0,0,20251103,20270401
157537,0,0,0,0,0,1,1,20251103,20270401
163189,1,1,1,1,0,0,0,20260218,20270401
163196,0,0,0,0,1,0,0,20260218,20270401
134418,0,0,0,0,0,1,0,20240902,20270401
134419,0,0,0,0,0,0,1,20240902,20270401
163193,1,1,1,1,0,0,0,20260218,20270401
163200,0,0,0,0,1,0,0,20260218,20270401
166462,1,1,1,1,1,0,0,20260414,20270401
166464,0,0,0,0,0,1,0,20260413,20270401
166465,0,0,0,0,0,0,1,20260413,20270401
166463,1,1,1,1,1,0,0,20260414,20270401
166466,0,0,0,0,0,1,0,20260413,20270401
166467,0,0,0,0,0,0,1,20260413,20270401
158162,1,1,1,1,1,0,0,20251115,20270401
158163,0,0,0,0,0,1,0,20251115,20270401
158164,0,0,0,0,0,0,1,20251115,20270401
165144,1,1,1,1,1,0,0,20260323,20270401
165145,0,0,0,0,0,1,0,20260323,20270401
165146,0,0,0,0,0,0,1,20260323,20270401
157567,1,1,1,1,1,0,0,20251103,20270401
157568,0,0,0,0,0,1,0,20251103,20270401
157569,0,0,0,0,0,0,1,20251103,20270401
163203,1,1,1,1,1,0,0,20260218,20270401
163815,0,0,0,0,0,1,1,20260218,20270401
158158,1,1,1,1,1,0,0,20251115,20270401
164660,1,1,1,1,1,0,0,20260312,20270401
164662,0,0,0,0,0,1,0,20260312,20270401
164663,0,0,0,0,0,0,1,20260312,20270401
162695,1,1,1,1,1,0,0,20260209,20270401
158160,0,0,0,0,0,1,0,20251115,20270401
158161,0,0,0,0,0,0,1,20251115,20270401
163192,1,1,1,1,0,0,0,20260218,20270401
163199,0,0,0,0,1,0,0,20260218,20270401
157555,1,1,1,1,1,0,0,20251103,20270401
157556,0,0,0,0,0,1,1,20251103,20270401
163205,0,0,0,0,0,1,0,20260218,20270401
163209,0,0,0,0,0,0,1,20260218,20270401
140373,1,1,1,1,1,0,0,20250106,20270401
137294,0,0,0,0,0,1,0,20241101,20270401
137295,0,0,0,0,0,0,1,20241101,20270401
163206,0,0,0,0,0,1,1,20260218,20270401
153967,1,1,1,1,1,0,0,20250901,20270401
165147,1,1,1,1,0,0,0,20260323,20270401
165148,0,0,0,0,1,0,0,20260323,20270401
158167,0,0,0,0,0,1,1,20251115,20270401
152317,0,0,1,0,0,0,0,20250811,20270401
152318,0,0,0,0,0,1,1,20250811,20270401
163933,1,1,1,1,1,0,0,20260225,20270401
163208,0,0,0,0,0,1,1,20260218,20270401
165909,1,1,1,1,1,0,0,20260406,20270401
165911,0,0,0,0,0,1,1,20260406,20270401
165149,1,1,1,1,1,0,0,20260323,20270401
162173,0,0,0,0,0,1,1,20260124,20270401
161796,1,1,1,1,1,0,0,20260119,20270401
161797,0,0,0,0,0,1,1,20260119,20270401
84821,0,0,0,0,0,1,0,20210901,20270401
84822,0,0,0,0,0,0,1,20210901,20270401
69514,1,1,1,1,1,0,0,20200901,20270401
165279,1,1,1,1,1,0,0,20260323,20270401
165281,0,0,0,0,0,1,0,20260323,20270401
165283,0,0,0,0,0,0,1,20260323,20270401
165280,1,1,1,1,1,0,0,20260323,20270401
158168,1,1,1,1,0,0,0,20251115,20270401
158169,0,0,0,0,1,0,0,20251115,20270401
155489,1,1,1,1,1,0,0,20251001,20270401
158170,1,1,1,1,0,0,0,20251115,20270401
158171,0,0,0,0,1,0,0,20251115,20270401
165904,1,1,1,1,1,0,0,20260406,20270401
165905,0,0,0,0,0,1,1,20260406,20270401
165906,1,1,1,1,1,0,0,20260406,20270401
165907,0,0,0,0,0,1,0,20260406,20270401
