service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
160178,1,1,1,1,0,0,0,20251229,20270501
160185,0,0,0,0,1,0,0,20251229,20270501
160341,0,0,0,0,0,1,0,20251224,20270501
160342,0,0,0,0,0,0,1,20251224,20270501
157535,1,1,1,1,0,0,0,20251103,20270501
157536,0,0,0,0,1,0,0,20251103,20270501
157537,0,0,0,0,0,1,1,20251103,20270501
163189,1,1,1,1,0,0,0,20260218,20270501
163196,0,0,0,0,1,0,0,20260218,20270501
134418,0,0,0,0,0,1,0,20240902,20270501
134419,0,0,0,0,0,0,1,20240902,20270501
163193,1,1,1,1,0,0,0,20260218,20270501
163200,0,0,0,0,1,0,0,20260218,20270501
166462,1,1,1,1,1,0,0,20260414,20270501
166464,0,0,0,0,0,1,0,20260413,20270501
166465,0,0,0,0,0,0,1,20260413,20270501
166463,1,1,1,1,1,0,0,20260414,20270501
166466,0,0,0,0,0,1,0,20260413,20270501
166467,0,0,0,0,0,0,1,20260413,20270501
158162,1,1,1,1,1,0,0,20251115,20270501
158163,0,0,0,0,0,1,0,20251115,20270501
158164,0,0,0,0,0,0,1,20251115,20270501
165144,1,1,1,1,1,0,0,20260323,20270501
165145,0,0,0,0,0,1,0,20260323,20270501
165146,0,0,0,0,0,0,1,20260323,20270501
157567,1,1,1,1,1,0,0,20251103,20270501
157568,0,0,0,0,0,1,0,20251103,20270501
157569,0,0,0,0,0,0,1,20251103,20270501
163203,1,1,1,1,1,0,0,20260218,20270501
163815,0,0,0,0,0,1,1,20260218,20270501
158158,1,1,1,1,1,0,0,20251115,20270501
164660,1,1,1,1,1,0,0,20260312,20270501
164662,0,0,0,0,0,1,0,20260312,20270501
164663,0,0,0,0,0,0,1,20260312,20270501
162695,1,1,1,1,1,0,0,20260209,20270501
158160,0,0,0,0,0,1,0,20251115,20270501
158161,0,0,0,0,0,0,1,20251115,20270501
163192,1,1,1,1,0,0,0,20260218,20270501
163199,0,0,0,0,1,0,0,20260218,20270501
157555,1,1,1,1,1,0,0,20251103,20270501
157556,0,0,0,0,0,1,1,20251103,20270501
167114,0,0,0,0,0,1,1,20260501,20260503
163205,0,0,0,0,0,1,0,20260218,20270501
163209,0,0,0,0,0,0,1,20260218,20270501
140373,1,1,1,1,1,0,0,20250106,20270501
137294,0,0,0,0,0,1,0,20241101,20270501
