route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_class,route_sort_order
klaipeda_bus_M6_TOKS,klaipeda,M6,Mogiliovo g. - Taikos pr. - Melnragė,,3,https://www.stops.lt/klaipeda/index.html#minibus,FF6600,FFFFFF,M,7900014
klaipeda_bus_M8_TOKS,klaipeda,M8,Jūrininkų st. - Taikos pr. - Ligoninės,,3,https://www.stops.lt/klaipeda/index.html#minibus,FF6600,FFFFFF,M,7900014
klaipeda_bus_1_AP,klaipeda,1,Autobusų stotis - VLG,,3,https://www.stops.lt/klaipeda/index.html#bus,0073AC,FFFFFF,C,2000100
klaipeda_bus_1A_Kautra,klaipeda,1A,Turgus - VLG,,3,https://www.stops.lt/klaipeda/index.html#bus,0073AC,FFFFFF,C,2000102
klaipeda_bus_2_Kautra,klaipeda,2,Kurėno st. - Sportininkų g.,,3,https://www.stops.lt/klaipeda/index.html#bus,0073AC,FFFFFF,C,2000200
klaipeda_bus_2A_TOKS,klaipeda,2A,Sportininkų g. - Debreceno g.,,3,https://www.stops.lt/klaipeda/index.html#bus,0073AC,FFFFFF,C,2000202
klaipeda_bus_3_Kautra,klaipeda,3,Naikupės g. - Ligoninės,,3,https://www.stops.lt/klaipeda/index.html#bus,0073AC,FFFFFF,C,2000300
klaipeda_bus_4_Kautra,klaipeda,4,Statybininkų pr. - Giruliai,,3,https://www.stops.lt/klaipeda/index.html#bus,0073AC,FFFFFF,C,2000400
klaipeda_bus_5_AP,klaipeda,5,Žiedo st. (Kretingos g.) - Jūrininkų st.,,3,https://www.stops.lt/klaipeda/index.html#bus,0073AC,FFFFFF,C,2000500
klaipeda_bus_6_AP,klaipeda,6,Mogiliovo g. - Melnragė,,3,https://www.stops.lt/klaipeda/index.html#bus,0073AC,FFFFFF,C,2000600
klaipeda_bus_7_AP,klaipeda,7,Klipščiai - Trušeliai - Klipščiai,,3,https://www.stops.lt/klaipeda/index.html#bus,0073AC,FFFFFF,C,2000700
klaipeda_bus_8_AP,klaipeda,8,Autobusų stotis - Jūrininkų st.,,3,https://www.stops.lt/klaipeda/index.html#bus,0073AC,FFFFFF,C,2000800
klaipeda_bus_8E_AP,klaipeda,8E,Ligoninės - Jūrininkų st.,,3,https://www.stops.lt/klaipeda/index.html#expressbus,008000,FFFFFF,C,1000806
klaipeda_bus_9_AP,klaipeda,9,Jūrininkų st. - Ligoninės,,3,https://www.stops.lt/klaipeda/index.html#bus,0073AC,FFFFFF,C,2000900
klaipeda_bus_9A_AP,klaipeda,9A,Turgus - VLG,,3,https://www.stops.lt/klaipeda/index.html#bus,0073AC,FFFFFF,C,2000902
klaipeda_bus_10_AP,klaipeda,10,Autobusų parkas - Statybininkų pr. - Smiltelės g. - Autobusų parkas,,3,https://www.stops.lt/klaipeda/index.html#bus,0073AC,FFFFFF,C,2001000
